text,label
"This movie was fantastic! I loved every moment of it.",1
"The film was a complete waste of time. Terrible acting and plot.",0
"Absolutely brilliant! The cinematography was stunning.",1
"I couldn't even finish it. Boring and predictable.",0
"The cast did an amazing job, and the story was engaging.",1
"Worst movie I've ever seen. I regret watching it.",0
"A masterpiece! The director outdid themselves.",1
"Poorly written and poorly executed. Not worth the ticket price.",0
"I was on the edge of my seat the entire time. Highly recommend!",1
"Disappointing. The trailer was better than the actual movie.",0
